"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MKJC","2025-08-24","584.8","584.8","559","561.12","-2.36 %","43,904.00"
"MLBBL","2025-08-24","1491","1569.7","1491","1512.76","-0.57 %","1,449.00"
"MLBL","2025-08-24","393.5","397.9","388.1","388.62","-1.51 %","43,098.00"
"MLBLD89","2025-08-24","1220","1220","1220","1220","1.96 %","25.00"
"MLBS","2025-08-24","1560","1590","1560","1573","-0.80 %","640.00"
"MLBSL","2025-08-24","2194","2194","2107","2114.64","-3.63 %","4,678.00"
"MMF1","2025-08-24","9.15","9.48","9.15","9.44","1.18 %","16,250.00"
"MMKJL","2025-08-24","585","595","576","577.38","-0.75 %","3,155.00"
"MNBBL","2025-08-24","445","450","433.5","434.58","-2.38 %","176,784.00"
"MNMF1","2025-08-24","9.04","9.1","9.01","9.02","-2.17 %","2,050.00"
"MPFL","2025-08-24","594","607","585","594.98","-0.22 %","15,131.00"
"MSHL","2025-08-24","883.3","917","883.3","908.05","0.97 %","1,690.00"
"MSLB","2025-08-24","1498.3","1544.9","1490","1492.26","-2.32 %","3,609.00"
"MUTUAL","2025-08-24","20.38","20.4","20.19","20.35","-0.20 %","36,857,818.37"
"NABBC","2025-08-24","1412.9","1527","1310","1336.65","-7.29 %","81,065.00"
"NABIL","2025-08-24","520","520","513","513.56","-0.88 %","72,676.00"
"NADEP","2025-08-24","848.9","883","835.8","850.64","0.19 %","3,850.00"
"NBF2","2025-08-24","10.05","10.5","10.05","10.16","-0.68 %","138,840.00"
"NBF3","2025-08-24","10.08","10.08","10.02","10.03","-0.59 %","87,567.00"
"NBL","2025-08-24","257","259","254","254.41","-0.47 %","63,502.00"
"NBLD82","2025-08-24","1047.6","1047.6","1047.6","1047.6","0.09 %","25.00"
"NBLD85","2025-08-24","1039","1039","1039","1039","-1.98 %","62.00"
"NBLD87","2025-08-24","1015.5","1015.5","1015.5","1015.5","-1.41 %","25.00"
"NEPSE","2025-08-24","2754.44","2770.8","2737.85","2739.95","-0.65 %","6,548,638,335.92"
"NESDO","2025-08-24","1605","1629.9","1588.1","1599.33","-0.39 %","479.00"
"NFS","2025-08-24","707.8","714.5","685","686.81","-2.82 %","38,769.00"
"NGPL","2025-08-24","393.3","409","393.3","395.61","-1.40 %","139,284.00"
"NHDL","2025-08-24","727.62","734","686","718","-1.32 %","7,250.00"
"NHPC","2025-08-24","211","211","207","207.95","-0.51 %","51,889.00"
"NIBD84","2025-08-24","1039.9","1039.9","1033","1033","-0.66 %","75.00"
"NIBLGF","2025-08-24","9.26","9.44","9.26","9.42","1.73 %","15,350.00"
"NIBLSTF","2025-08-24","8.5","8.67","8.33","8.46","-1.17 %","4,010.00"
"NIBSF2","2025-08-24","8.7","8.8","8.69","8.8","-0.56 %","10,874.00"
"NICA","2025-08-24","348.2","349.5","343","343.56","-1.38 %","94,633.00"
"NICBF","2025-08-24","9","9","9","9","-1.10 %","12,100.00"
"NICD88","2025-08-24","1019.5","1019.5","1019.5","1019.5","-0.32 %","25.00"
"NICFC","2025-08-24","9.01","9.05","8.93","8.95","-0.67 %","3,200.00"
"NICGF2","2025-08-24","8.65","8.71","8.65","8.71","-1.25 %","62,950.00"
"NICL","2025-08-24","606","610","600","601.55","-0.64 %","10,968.00"
"NICLBSL","2025-08-24","610.8","625","610.8","622.72","0.88 %","7,953.00"
"NICSF","2025-08-24","8.9","9.13","8.9","9.13","0.77 %","8,900.00"
"NIFRA","2025-08-24","283.9","283.9","275","275.7","-1.39 %","215,691.00"
"NIFRAGED","2025-08-24","956.1","999.9","956.1","999.6","2.54 %","200.00"
"NIFRAUR85/86","2025-08-24","1009","1009.8","1009","1009.8","2.00 %","40.00"
"NIL","2025-08-24","695","711.9","695","699.73","0.24 %","6,193.00"
"NIMB","2025-08-24","211","213.5","208.9","209.05","-1.43 %","133,046.00"
"NIMBPO","2025-08-24","162","164.1","162","164","0.00 %","958.00"
"NLG","2025-08-24","808.5","815","799.1","802.77","-0.28 %","9,997.00"
"NLIC","2025-08-24","789","789","770","771.15","-0.69 %","34,020.00"
"NLICL","2025-08-24","612.5","619","594","601.79","0.17 %","3,816.00"
"NMB","2025-08-24","245.2","252","245","249.27","-0.10 %","34,120.00"
"NMB50","2025-08-24","11.3","11.5","11.03","11.37","1.07 %","199,300.00"
"NMBD87/88","2025-08-24","1076","1076","1055","1055","-1.95 %","200.00"
"NMBHF2","2025-08-24","8.86","8.93","8.75","8.93","0.79 %","2,450.00"
"NMBMF","2025-08-24","702.1","713","702.1","705.65","-1.00 %","3,451.00"
"NMFBS","2025-08-24","1305","1315","1290","1299.42","-0.43 %","6,504.00"
"NMIC","2025-08-24","1396","1420","1350","1364.3","-2.29 %","14,832.00"
"NMLBBL","2025-08-24","697","710","680.1","690.91","0.97 %","26,157.00"
"NONLIFEINSU","2025-08-24","12348.85","12409.12","12266.86","12286.19","-0.51 %","112,570,290.60"
"NRIC","2025-08-24","1584","1590","1555.2","1567.57","0.28 %","155,938.00"
"NRM","2025-08-24","523","540","523","525.84","-1.37 %","114,860.00"
"NRN","2025-08-24","2173.1","2196.9","2136","2138.18","-1.89 %","53,775.00"
"NSIF2","2025-08-24","11.22","11.3","11.22","11.26","0.54 %","58,755.00"
"NTC","2025-08-24","850","863","848","852.12","0.20 %","14,313.00"
"NUBL","2025-08-24","799","805.8","776","784.93","-0.67 %","22,075.00"
"NWCL","2025-08-24","874","895","874","890","0.39 %","1,276.00"
"NYADI","2025-08-24","430","438","425","426.82","-1.22 %","8,120.00"
"OHL","2025-08-24","864","864","851.2","852.76","-1.08 %","3,527.00"
"OMPL","2025-08-24","1315.9","1359","1315.9","1338.54","-0.31 %","5,580.00"
"OTHERS","2025-08-24","2595.35","2629.85","2585.19","2593.05","-0.11 %","616,393,397.70"
"PBD88","2025-08-24","1102.5","1105","1102.5","1105","0.25 %","45.00"
"PBLD84","2025-08-24","1100","1100","1086","1086","-1.27 %","50.00"
"PBLD86","2025-08-24","1139","1141.5","1139","1141.5","1.28 %","25.00"
"PBLD87","2025-08-24","1042","1042","1042","1042","-1.88 %","25.00"
"PCBL","2025-08-24","257","258.8","255","256.29","0.62 %","44,751.00"
"PFL","2025-08-24","401","404.9","398","398.83","-0.60 %","10,012.00"
"PHCL","2025-08-24","482","482","470.5","471.44","-2.36 %","7,013.00"
"PMHPL","2025-08-24","391","399.5","388.2","392.77","-0.84 %","82,526.00"
"PMLI","2025-08-24","500","512","498","498.54","-0.75 %","14,622.00"
"PPCL","2025-08-24","339.9","340.8","331","335.1","0.23 %","19,695.00"
"PPL","2025-08-24","362","369.9","357","357.83","-2.82 %","8,146.00"
